candidate_id,dataset,row_index,reserve_role,source_ideal_sha256,normalized_reference_sha256,ast_sha256,line_count,ast_node_count,function_count,top_level_count,top_level_kinds,python_parseable,ast_round_trip_stable,exact_text_round_trip_stable,ast_rejects_appended_pass,comparator,machine_deterministic,construct_review_required,construct_approved,limitation
bipia-email-011,email,11,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-032,email,32,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-033,email,33,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-035,email,35,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-041,email,41,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-026,email,26,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-046,email,46,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-043,email,43,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-008,email,8,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
bipia-email-001,email,1,current_frame,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,,,,,,,,,,,closed_set_normalized_sentinel,True,True,False,no semantic paraphrases
