candidate_id,dataset,row_index,reference_sha256,comparator,machine_deterministic,construct_review_required,limitation
bipia-email-000,email,0,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-001,email,1,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-002,email,2,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-008,email,8,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-009,email,9,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-011,email,11,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-012,email,12,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-013,email,13,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-015,email,15,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-019,email,19,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-020,email,20,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-021,email,21,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-023,email,23,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-024,email,24,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-026,email,26,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-029,email,29,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-030,email,30,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-032,email,32,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-033,email,33,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-035,email,35,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-036,email,36,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-041,email,41,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-043,email,43,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-045,email,45,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-046,email,46,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-email-048,email,48,b23a6a8439c0dde5515893e7c90c1e3233b8616e634470f20dc4928bcf3609bc,closed_set_normalized_sentinel,true,true,no semantic paraphrases
bipia-code-000,code,0,ef2cd1b08930b64d1661d2103bf26efcb944eaa95b546955c9751562b6ac4cb6,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-001,code,1,819d8ad576dcbeccd1139b339891eba592db68d27daa73038249d9f7e2756c2d,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-002,code,2,224d6aa06dcf1dc40ad486e71ef5e2ea0d67eb8cc991aafc5f04c9f69a23daa3,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-005,code,5,f03cbcb21e47007842cdcaa36a47262efc1e8e3ec53fa07f97b023fc8166d9b4,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-006,code,6,332bf4dbb21b6d5c5da13233bb14731252524b65a1545af72ee6ea5ace6196c4,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-007,code,7,2883b6889d1dd835650bbe10dc1122a4ad45a71e0385b53b8c8c55bbbff58c48,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-008,code,8,e670395050d3f50fb28b809927b1523773621279eca068d07ec49ad08b9f46f8,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-009,code,9,92821d42c7ed219e44310144157701bb92c45398d8b93401a8f383e7addd4b56,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-012,code,12,33b5417928342c481d15e68161750be65672647d29b75684ce1d7c259ab0575d,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-015,code,15,ae2979278e41318b6adc50242796f798931936756220de685ecfab4a4dc03b1a,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-016,code,16,47dba8abd0bbd92a28ee0b414a847300d533425e6c44e006673c50dfc2557929,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-018,code,18,2e54ea875aa1d9a7cc62d6bf9833759cdfdb24fe7814907fab01bed0f6649f72,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-023,code,23,c4bcf89e43766e475930876e9c2df0cb2b9a9d7e671358b4919af053ec702ab0,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-024,code,24,b30d415cf7d339405524b4783993309bdb59496f162e78595555d1ef80f71086,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-027,code,27,a626fbcb632aace83697be31c03e148ae2d401a6d06b108f78a6b1aaa830f688,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-029,code,29,099f19515801cbda86a9c91978682a8c8a44e2ef475ac33e7d97e729f89b2176,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-031,code,31,caa91649c8df2afb3ae2c912a5a6345407915ae5aee2940ae2e435be32319fe9,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-032,code,32,43006881c5281337db5c0f8f6691eb2b556e96ea5c3d7aebb6f0106423baa7ba,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-033,code,33,fa1fe656f7c11ea772c2832ec38c0b92415b4f29bfddfbdf3734f56ff6ed388d,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-035,code,35,6a3ceafed8975ca0320716b11b7a97d7e9fa1a84f8f79b3dc178e001cd1b28df,python_ast_exact_structure,true,true,no execution or general semantic equivalence
